RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	F1 ILP    	F1 RNAstr 	Fb ILP    	Fb RNAstr 	INF ILP   	INF RNAstr
srp_Acin.spec._CR543861                      	47        	473.18    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	93.38     	-12.96    	-14.30    	-14.30    	0.52      	1.00      	0.54      	1.00      	0.52      	1.00      
srp_Acin.spec._CR543861                      	47        	373.73    	-14.72    	-14.30    	-14.30    	0.55      	1.00      	0.55      	1.00      	0.55      	1.00      
srp_Baci.subt._X06803                        	53        	1759.86   	-10.38    	-8.00     	-8.40     	0.88      	0.92      	0.82      	0.88      	0.89      	0.93      
srp_Baci.subt._X06803                        	53        	269.81    	-10.38    	-8.00     	-8.40     	0.88      	0.92      	0.82      	0.88      	0.89      	0.93      
srp_Baci.amyl._CP000560                      	30        	0.58      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Bdel.bact._BX842656                      	56        	4200.88   	-12.87    	-7.80     	-12.20    	0.33      	0.00      	0.38      	0.00      	0.34      	0.00      
srp_Bdel.bact._BX842656                      	56        	2142.76   	-12.87    	-7.80     	-12.20    	0.33      	0.00      	0.38      	0.00      	0.34      	0.00      
srp_Acin.spec._CR543861                      	47        	409.14    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	594.98    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	372.49    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Bdel.bact._BX842656                      	56        	5052.25   	-12.57    	-7.80     	-12.20    	0.67      	0.00      	0.83      	0.00      	0.71      	0.00      
srp_Brad.japo._BA000040                      	33        	1.90      	-10.74    	-10.00    	-10.80    	0.93      	0.00      	0.97      	0.00      	0.94      	0.00      
srp_Brad.spec._CP000494                      	33        	1.88      	-10.74    	-10.00    	-10.80    	0.93      	0.00      	0.97      	0.00      	0.94      	0.00      
srp_Bruc.abor._AE017223                      	33        	1.88      	-10.74    	-10.00    	-10.80    	0.93      	0.00      	0.97      	0.00      	0.94      	0.00      
srp_Camp.jeju._AL139074                      	36        	5.54      	-9.84     	-8.70     	-8.70     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Carb.hydr._CP000141                      	36        	3.87      	-8.57     	-3.80     	-7.70     	0.93      	0.93      	0.90      	0.90      	0.94      	0.94      
srp_Cory.glut._AP009044                      	52        	2193.02   	-18.88    	-5.00     	-17.80    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Cory.glut._BA000036                      	52        	1536.73   	-24.14    	-5.00     	-21.50    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Dein.geot._CP000359                      	32        	1.61      	-10.66    	-8.70     	-9.70     	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
srp_Erwi.caro._BX950851                      	30        	0.65      	-10.50    	-8.60     	-8.60     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Ferv.nodo._CP000771                      	35        	3.14      	-10.74    	-10.00    	-10.80    	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
srp_Geob.uran._CP000698                      	33        	3.10      	-8.04     	-8.30     	-8.30     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Haem.infl._L42023                        	32        	1.28      	-9.86     	-8.60     	-9.70     	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
srp_Kine.radi._CP000750                      	53        	2040.33   	-26.32    	-7.40     	-24.50    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Lact.brev._CP000416                      	55        	10333.13  	-12.02    	-5.90     	-10.60    	0.58      	0.56      	0.65      	0.64      	0.59      	0.57      
srp_Lact.brev._CP000416                      	55        	1269.70   	-12.02    	-5.90     	-10.60    	0.58      	0.56      	0.65      	0.64      	0.59      	0.57      
srp_Lact.brev._CP000416                      	55        	9615.40   	-12.02    	-5.90     	-10.60    	0.58      	0.56      	0.65      	0.64      	0.59      	0.57      
srp_Lact.brev._CP000416                      	55        	688.84    	-10.52    	-5.90     	-10.60    	0.56      	0.56      	0.64      	0.64      	0.57      	0.57      
srp_Lact.brev._CP000416                      	55        	370.20    	0.00      	-5.90     	-10.60    	0.00      	0.56      	0.00      	0.64      	0.00      	0.57      
srp_Lact.brev._CP000416                      	55        	749.19    	2.98      	-5.90     	-10.60    	0.48      	0.56      	0.49      	0.64      	0.48      	0.57      
