RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	MFE RNAFold	F1 ILP    	F1 RNAstr 	F1 RNAFold	Fb ILP    	Fb RNAstr 	Fb RNAFold	INF ILP   	INF RNAstr	INF RNAFold
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	1800.81   	-11.58    	-3.60     	-9.70     	-9.70     	0.84      	0.84      	0.84      	0.93      	0.93      	0.93      	0.85      	0.85      	0.85      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	1800.71   	-12.71    	-5.00     	-11.50    	-13.80    	0.56      	0.33      	0.28      	0.58      	0.33      	0.27      	0.56      	0.33      	0.28      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	2401.19   	-11.58    	-3.20     	-9.70     	-9.70     	0.42      	0.42      	0.42      	0.45      	0.45      	0.45      	0.43      	0.43      	0.43      
tRNA_tdbR00000592-Ascaris_suum-6253-Gln-UG   	58        	5401.88   	-6.56     	1.40      	-6.50     	-6.20     	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00           
tRNA_tdbR00000593-Ascaris_suum-6253-Trp-CA   	60        	3600.85   	-11.12    	-2.20     	-8.70     	-8.70     	0.57      	0.57      	0.57      	0.62      	0.62      	0.62      	0.58      	0.58      	0.58      
tRNA_tdbR00000594-Ascaris_suum-6253-Leu-AA   	58        	3602.95   	-2.05     	-1.30     	-8.90     	-7.60     	0.41      	0.29      	0.65      	0.41      	0.27      	0.66      	0.41      	0.29      	0.65      
srp_Stre.pyog._AM295007                      	57        	1000.34   	-13.06    	-11.80    	-13.10    	-11.80    	0.83      	0.83      	1.00      	0.93      	0.93      	1.00      	0.85      	0.85      	1.00      
srp_Stre.pyog._AM295007                      	57        	1800.65   	-12.91    	-11.80    	-13.10    	-11.80    	1.00      	0.83      	1.00      	1.00      	0.93      	1.00      	1.00      	0.85      	1.00      
srp_Stre.pyog._AM295007                      	57        	6.69      	-17.37    	-11.80    	-13.10    	-11.80    	0.87      	0.83      	1.00      	0.94      	0.93      	1.00      	0.88      	0.85      	1.00      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	6.36      	-18.18    	-3.60     	-9.70     	-9.70     	0.84      	0.84      	0.84      	0.93      	0.93      	0.93      	0.85      	0.85      	0.85      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	4.67      	-22.05    	-5.00     	-11.50    	-13.80    	0.31      	0.33      	0.28      	0.32      	0.33      	0.27      	0.31      	0.33      	0.28      
srp_Baci.subt._X06803                        	53        	1.34      	-18.36    	-8.00     	-8.40     	-8.40     	0.80      	0.92      	0.92      	0.83      	0.88      	0.88      	0.80      	0.93      	0.93      
srp_Lact.brev._CP000416                      	55        	3.05      	-20.12    	-5.90     	-10.60    	-9.50     	0.46      	0.56      	0.58      	0.54      	0.64      	0.65      	0.47      	0.57      	0.59      
srp_Lact.brev._CP000416                      	55        	856.43    	-16.43    	-5.90     	-10.60    	-9.50     	0.00      	0.56      	0.58      	0.00      	0.64      	0.65      	0.00      	0.57      	0.59      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	400.40    	-13.21    	-3.60     	-9.70     	-9.70     	0.53      	0.84      	0.84      	0.58      	0.93      	0.93      	0.54      	0.85      	0.85      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	1800.60   	-2.00     	-3.60     	-9.70     	-9.70     	0.40      	0.84      	0.84      	0.39      	0.93      	0.93      	0.40      	0.85      	0.85      
srp_Baci.subt._X06803                        	53        	1897.47   	-11.88    	-8.00     	-8.40     	-8.40     	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      
srp_Baci.subt._X06803                        	53        	947.00    	-11.88    	-8.00     	-8.40     	-8.40     	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      
srp_Baci.subt._X06803                        	53        	944.55    	-11.88    	-8.00     	-8.40     	-8.40     	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      
srp_Baci.subt._X06803                        	53        	984.54    	-11.88    	-8.00     	-8.40     	-8.40     	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      
srp_Baci.subt._X06803                        	53        	268.36    	7.63      	-8.00     	-8.40     	-8.40     	0.00      	0.92      	0.92      	0.00      	0.88      	0.88      	0.00      	0.93      	0.93      
srp_Baci.subt._X06803                        	53        	905.02    	-11.88    	-8.00     	-8.40     	-8.40     	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      
srp_Baci.subt._X06803                        	53        	909.56    	-11.88    	-8.00     	-8.40     	-8.40     	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	3360.38   	-1.54     	-5.00     	-11.50    	-13.80    	0.24      	0.33      	0.28      	0.21      	0.33      	0.27      	0.24      	0.33      	0.28      
srp_Bdel.bact._BX842656                      	56        	1144.83   	-11.43    	-7.80     	-12.20    	-11.80    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	1450.61   	-12.03    	-5.00     	-11.50    	-13.80    	0.36      	0.33      	0.28      	0.34      	0.33      	0.27      	0.36      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	0.21      	-28.81    	-5.00     	-11.50    	-13.80    	0.29      	0.33      	0.28      	0.32      	0.33      	0.27      	0.30      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	3.38      	-22.05    	-5.00     	-11.50    	-13.80    	0.31      	0.33      	0.28      	0.32      	0.33      	0.27      	0.31      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	585.06    	-19.14    	-5.00     	-11.50    	-13.80    	0.31      	0.33      	0.28      	0.32      	0.33      	0.27      	0.31      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	2601.11   	-12.94    	-5.00     	-11.50    	-13.80    	0.32      	0.33      	0.28      	0.33      	0.33      	0.27      	0.32      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	3602.44   	-12.94    	-5.00     	-11.50    	-13.80    	0.32      	0.33      	0.28      	0.33      	0.33      	0.27      	0.32      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	949.38    	-19.14    	-5.00     	-11.50    	-13.80    	0.31      	0.33      	0.28      	0.32      	0.33      	0.27      	0.31      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	698.37    	-10.94    	-5.00     	-11.50    	-13.80    	0.33      	0.33      	0.28      	0.33      	0.33      	0.27      	0.33      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	269.49    	5788.14   	-5.00     	-11.50    	-13.80    	0.00      	0.33      	0.28      	0.00      	0.33      	0.27      	0.00      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	135.41    	-15.23    	-5.00     	-11.50    	-13.80    	0.90      	0.33      	0.28      	0.92      	0.33      	0.27      	0.90      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	146.91    	-15.17    	-5.00     	-11.50    	-13.80    	0.61      	0.33      	0.28      	0.64      	0.33      	0.27      	0.61      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	150.86    	-14.50    	-5.00     	-11.50    	-13.80    	0.85      	0.33      	0.28      	0.90      	0.33      	0.27      	0.85      	0.33      	0.28      
