RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
16s_C.elegans_domain4                        	73        	3247.74   	-15.96    	3.00      	-14.00    	-12.40    	-14.60    	0.00      	0.25      	0.00      	0.25      	0.00      	0.33      	0.00      	0.33      	0.00      	0.28      	0.00      	0.28      
srp_Aqui.aeol._AE000657                      	77        	875.28    	-46.86    	-44.80    	-45.90    	-45.90    	-42.00    	0.57      	0.57      	0.57      	1.00      	0.59      	0.59      	0.59      	1.00      	0.57      	0.57      	0.57      	1.00      
srp_Burk.mall._CP000010                      	79        	7200.75   	-30.17    	-17.60    	-27.20    	-25.50    	-25.00    	0.31      	0.00      	0.00      	0.32      	0.32      	0.00      	0.00      	0.32      	0.31      	0.00      	0.00      	0.32      
srp_Burk.mall._CP000546                      	79        	7200.81   	-30.17    	-17.60    	-27.20    	-25.50    	-25.00    	0.31      	0.00      	0.00      	0.32      	0.32      	0.00      	0.00      	0.32      	0.31      	0.00      	0.00      	0.32      
srp_Burk.pseu._CP000124                      	79        	7200.78   	-30.17    	-17.60    	-27.20    	-25.50    	-25.00    	0.31      	0.00      	0.00      	0.32      	0.32      	0.00      	0.00      	0.32      	0.31      	0.00      	0.00      	0.32      
srp_Burk.pseu._CP000570                      	79        	7200.82   	-29.68    	-14.70    	-26.60    	-25.80    	-24.40    	0.12      	0.00      	0.00      	0.00      	0.13      	0.00      	0.00      	0.00      	0.13      	0.00      	0.00      	0.00      
srp_Burk.pseu._CP000572                      	79        	7200.79   	-30.17    	-17.60    	-27.20    	-25.50    	-25.00    	0.31      	0.00      	0.00      	0.32      	0.32      	0.00      	0.00      	0.32      	0.31      	0.00      	0.00      	0.32      
srp_Citr.sine._CN181543                      	78        	7200.43   	-22.81    	1381.00   	-23.30    	-22.00    	-19.50    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Citr.sine._CN181544                      	78        	7200.57   	-22.81    	1381.00   	-23.30    	-22.00    	-19.50    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Lact.case._CP000423                      	79        	2719.64   	-29.84    	-4.80     	-26.10    	-25.70    	-24.30    	0.00      	0.60      	0.60      	0.60      	0.00      	0.71      	0.71      	0.71      	0.00      	0.62      	0.62      	0.62      
srp_Lact.john._AX926712                      	76        	1319.88   	-31.39    	-18.80    	-25.10    	-25.60    	-25.30    	0.37      	0.33      	0.48      	0.50      	0.39      	0.35      	0.49      	0.53      	0.37      	0.33      	0.48      	0.50      
srp_Lact.lact._AE006305                      	77        	3545.02   	-27.24    	-14.80    	-25.50    	-25.50    	-24.30    	0.88      	0.88      	0.88      	0.57      	0.90      	0.90      	0.90      	0.59      	0.88      	0.88      	0.88      	0.57      
