RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
16s_C.elegans_domain4                        	73        	3600.37   	-15.96    	3.00      	-14.00    	-12.40    	-14.60    	0.00      	0.25      	0.00      	0.25      	0.00      	0.33      	0.00      	0.33      	0.00      	0.28      	0.00      	0.28      
srp_Aqui.aeol._AE000657                      	77        	3300.00   	-46.86    	-44.80    	-45.90    	-45.90    	-42.00    	0.57      	0.57      	0.57      	1.00      	0.59      	0.59      	0.59      	1.00      	0.57      	0.57      	0.57      	1.00      
srp_Burk.mall._CP000010                      	79        	3600.52   	-30.17    	-17.60    	-27.20    	-25.50    	-25.00    	0.31      	0.00      	0.00      	0.32      	0.32      	0.00      	0.00      	0.32      	0.31      	0.00      	0.00      	0.32      
srp_Burk.mall._CP000546                      	79        	3600.85   	-27.60    	-17.60    	-27.20    	-25.50    	-25.00    	0.72      	0.00      	0.00      	0.32      	0.75      	0.00      	0.00      	0.32      	0.72      	0.00      	0.00      	0.32      
srp_Burk.pseu._CP000124                      	79        	3601.19   	-27.60    	-17.60    	-27.20    	-25.50    	-25.00    	0.72      	0.00      	0.00      	0.32      	0.75      	0.00      	0.00      	0.32      	0.72      	0.00      	0.00      	0.32      
srp_Burk.pseu._CP000570                      	79        	3600.42   	-27.64    	-14.70    	-26.60    	-25.80    	-24.40    	0.13      	0.00      	0.00      	0.00      	0.13      	0.00      	0.00      	0.00      	0.13      	0.00      	0.00      	0.00      
srp_Burk.pseu._CP000572                      	79        	3601.03   	-27.60    	-17.60    	-27.20    	-25.50    	-25.00    	0.72      	0.00      	0.00      	0.32      	0.75      	0.00      	0.00      	0.32      	0.72      	0.00      	0.00      	0.32      
srp_Citr.sine._CN181543                      	78        	3600.62   	-22.88    	1381.00   	-23.30    	-22.00    	-19.50    	0.22      	0.00      	0.00      	0.00      	0.27      	0.00      	0.00      	0.00      	0.23      	0.00      	0.00      	0.00      
srp_Citr.sine._CN181544                      	78        	3601.22   	-22.88    	1381.00   	-23.30    	-22.00    	-19.50    	0.22      	0.00      	0.00      	0.00      	0.27      	0.00      	0.00      	0.00      	0.23      	0.00      	0.00      	0.00      
srp_Lact.case._CP000423                      	79        	3600.51   	-25.98    	-4.80     	-26.10    	-25.70    	-24.30    	0.00      	0.60      	0.60      	0.60      	0.00      	0.71      	0.71      	0.71      	0.00      	0.62      	0.62      	0.62      
srp_Lact.john._AX926712                      	76        	3601.88   	-29.88    	-18.80    	-25.10    	-25.60    	-25.30    	0.48      	0.33      	0.48      	0.50      	0.49      	0.35      	0.49      	0.53      	0.48      	0.33      	0.48      	0.50      
srp_Lact.lact._AE006305                      	77        	3601.05   	-24.73    	-14.80    	-25.50    	-25.50    	-24.30    	0.46      	0.88      	0.88      	0.57      	0.47      	0.90      	0.90      	0.59      	0.46      	0.88      	0.88      	0.57      
srp_Myco.capr._D00560                        	77        	3600.69   	-28.82    	-17.00    	-24.50    	-24.50    	-23.60    	0.85      	0.85      	0.85      	0.85      	0.88      	0.88      	0.88      	0.88      	0.85      	0.85      	0.85      	0.85      
srp_Myco.pene._BA000026                      	77        	3602.69   	-46.86    	-44.80    	-45.90    	-45.90    	-42.00    	0.57      	0.57      	0.57      	1.00      	0.59      	0.59      	0.59      	1.00      	0.57      	0.57      	0.57      	1.00      
srp_Myco.pneu._AE000044                      	77        	3600.59   	-28.82    	-17.00    	-24.50    	-24.50    	-23.60    	0.85      	0.85      	0.85      	0.85      	0.88      	0.88      	0.88      	0.88      	0.85      	0.85      	0.85      	0.85      
srp_Myco.pneu._S76009                        	79        	3600.90   	-28.92    	-18.50    	-25.20    	-25.20    	-24.50    	0.82      	0.86      	0.86      	0.86      	0.85      	0.87      	0.87      	0.87      	0.82      	0.86      	0.86      	0.86      
srp_Myco.pneu._U00089                        	77        	3601.04   	-28.82    	-17.00    	-24.50    	-24.50    	-23.60    	0.85      	0.85      	0.85      	0.85      	0.88      	0.88      	0.88      	0.88      	0.85      	0.85      	0.85      	0.85      
srp_Stre.pneu._AE008386                      	77        	3602.88   	-29.51    	-15.80    	-26.50    	-26.50    	-26.90    	0.74      	0.86      	0.86      	0.86      	0.75      	0.89      	0.89      	0.89      	0.74      	0.86      	0.86      	0.86      
