RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Baci.subt._X06803                        	53        	740.45    	-11.88    	-8.00     	-8.40     	-8.40     	-10.10    	0.92      	0.92      	0.92      	0.92      	0.88      	0.88      	0.88      	0.88      	0.93      	0.93      	0.93      	0.93      
srp_Bdel.bact._BX842656                      	56        	2663.26   	-12.97    	-7.80     	-12.20    	-11.80    	-12.40    	0.00      	0.00      	0.00      	0.30      	0.00      	0.00      	0.00      	0.37      	0.00      	0.00      	0.00      	0.31      
srp_Cory.glut._AP009044                      	52        	692.44    	-20.68    	-5.00     	-17.80    	-19.50    	-16.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Cory.glut._BA000036                      	52        	896.55    	-24.24    	-5.00     	-21.50    	-23.10    	-19.10    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Kine.radi._CP000750                      	53        	2354.50   	-24.72    	-7.40     	-24.50    	-25.40    	-21.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Lact.brev._CP000416                      	55        	5401.95   	-12.05    	-5.90     	-10.60    	-9.50     	-11.00    	0.56      	0.56      	0.58      	0.00      	0.64      	0.64      	0.65      	0.00      	0.57      	0.57      	0.59      	0.00      
srp_Magn.magn._AP007255                      	58        	5400.98   	-14.81    	-8.60     	-16.40    	-14.60    	-15.50    	0.00      	0.00      	0.54      	0.23      	0.00      	0.00      	0.62      	0.27      	0.00      	0.00      	0.55      	0.24      
srp_Myco.bovi._BX248347                      	59        	3664.75   	-23.71    	-5.80     	-22.80    	-23.90    	-19.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Myco.spec._CP000518                      	53        	789.50    	-23.87    	-5.60     	-21.10    	-23.30    	-18.10    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Pedi.pent._CP000422                      	59        	5400.53   	-11.39    	-8.20     	-11.30    	-11.00    	-13.60    	0.56      	0.15      	0.00      	0.24      	0.60      	0.17      	0.00      	0.26      	0.56      	0.16      	0.00      	0.24      
srp_Proc.mari._AE017126                      	51        	863.43    	-16.00    	-8.90     	-16.00    	-15.40    	-16.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Sacc.eryt._AM420293                      	53        	2321.27   	-24.72    	-7.40     	-24.50    	-25.40    	-21.60    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Shig.flex._AE016979                      	54        	3616.03   	-17.38    	-9.90     	-14.50    	-14.50    	-14.40    	0.67      	0.67      	0.67      	0.67      	0.73      	0.73      	0.73      	0.73      	0.67      	0.67      	0.67      	0.67      
srp_Stre.pyog._AM295007                      	57        	3657.30   	-13.06    	-11.80    	-13.10    	-11.80    	-14.80    	0.83      	0.83      	1.00      	0.83      	0.93      	0.93      	1.00      	0.93      	0.85      	0.85      	1.00      	0.85      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	5400.80   	-11.14    	-3.60     	-9.70     	-9.70     	-10.10    	0.84      	0.84      	0.84      	0.84      	0.93      	0.93      	0.93      	0.93      	0.85      	0.85      	0.85      	0.85      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	5400.44   	-12.71    	-5.00     	-11.50    	-13.80    	-15.80    	0.56      	0.33      	0.28      	0.28      	0.58      	0.33      	0.27      	0.27      	0.56      	0.33      	0.28      	0.28      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	5400.99   	-11.14    	-3.20     	-9.70     	-9.70     	-10.10    	0.42      	0.42      	0.42      	0.42      	0.45      	0.45      	0.45      	0.45      	0.43      	0.43      	0.43      	0.43      
tRNA_tdbR00000592-Ascaris_suum-6253-Gln-UG   	58        	5401.73   	-6.92     	1.40      	-6.50     	-6.20     	-10.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
tRNA_tdbR00000593-Ascaris_suum-6253-Trp-CA   	60        	5402.58   	-9.06     	-2.20     	-8.70     	-8.70     	-9.70     	0.85      	0.57      	0.57      	0.57      	0.90      	0.62      	0.62      	0.62      	0.85      	0.58      	0.58      	0.58      
tRNA_tdbR00000594-Ascaris_suum-6253-Leu-AA   	58        	5401.34   	-6.73     	-1.30     	-8.90     	-7.60     	-9.50     	0.65      	0.29      	0.65      	0.29      	0.66      	0.27      	0.66      	0.27      	0.65      	0.29      	0.65      	0.29      
