RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	F1 ILP    	F1 RNAstr 	Fb ILP    	Fb RNAstr 	INF ILP   	INF RNAstr
srp_Acin.spec._CR543861                      	47        	303.28    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Bdel.bact._BX842656                      	56        	2569.96   	-12.57    	-7.80     	-12.20    	0.67      	0.00      	0.83      	0.00      	0.71      	0.00      
srp_Acin.spec._CR543861                      	47        	236.00    	-67.24    	-14.30    	-14.30    	0.70      	1.00      	0.71      	1.00      	0.70      	1.00      
srp_Acin.spec._CR543861                      	47        	333.15    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	207.82    	-67.24    	-14.30    	-14.30    	0.70      	1.00      	0.71      	1.00      	0.70      	1.00      
srp_Acin.spec._CR543861                      	47        	50.62     	-67.24    	-14.30    	-14.30    	0.70      	1.00      	0.71      	1.00      	0.70      	1.00      
srp_Acin.spec._CR543861                      	47        	24.40     	-33.27    	-14.30    	-14.30    	0.00      	1.00      	0.00      	1.00      	0.00      	1.00      
srp_Acin.spec._CR543861                      	47        	12.74     	-32.59    	-14.30    	-14.30    	0.00      	1.00      	0.00      	1.00      	0.00      	1.00      
srp_Acin.spec._CR543861                      	47        	256.27    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	21.97     	-32.59    	-14.30    	-14.30    	0.00      	1.00      	0.00      	1.00      	0.00      	1.00      
srp_Acin.spec._CR543861                      	47        	80.52     	-67.24    	-14.30    	-14.30    	0.70      	1.00      	0.71      	1.00      	0.70      	1.00      
srp_Acin.spec._CR543861                      	47        	36.56     	-32.59    	-14.30    	-14.30    	0.00      	1.00      	0.00      	1.00      	0.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.55      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.68      	-15.93    	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.68      	-15.93    	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.51      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.67      	-15.93    	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.68      	-15.93    	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.69      	-15.93    	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.90      	-13.43    	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.93      	-10.21    	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	320.18    	-21.32    	-14.30    	-14.30    	0.70      	1.00      	0.71      	1.00      	0.70      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.70      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	1.31      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	1.25      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	390.33    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	536.00    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
