RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
16s_C.elegans_domain4                        	73        	4200.49   	-13.88    	3.00      	-14.00    	-12.40    	-14.60    	0.26      	0.25      	0.00      	0.25      	0.34      	0.33      	0.00      	0.33      	0.28      	0.28      	0.00      	0.28      
srp_Aqui.aeol._AE000657                      	77        	789.92    	-46.86    	-44.80    	-45.90    	-45.90    	-42.00    	0.57      	0.57      	0.57      	1.00      	0.59      	0.59      	0.59      	1.00      	0.57      	0.57      	0.57      	1.00      
tRNA_tdbR00000001-Halobacterium_salinarum-2242-Ala-CGC	75        	3074.31   	-30.03    	-25.70    	-29.60    	-29.10    	-26.30    	0.74      	0.95      	0.71      	0.67      	0.75      	0.98      	0.74      	0.69      	0.74      	0.96      	0.71      	0.67      
tRNA_tdbR00000002-Haloferax_volcanii-2246-Ala-CGC	75        	944.85    	-32.09    	-27.20    	-31.10    	-30.70    	-27.60    	0.74      	0.95      	0.67      	0.67      	0.75      	0.98      	0.69      	0.69      	0.74      	0.96      	0.67      	0.67      
tRNA_tdbR00000003-Haloferax_volcanii-2246-Ala-GGC	75        	1686.23   	-35.16    	-30.80    	-32.60    	-32.50    	-26.70    	0.71      	1.00      	0.71      	0.56      	0.71      	1.00      	0.71      	0.57      	0.71      	1.00      	0.71      	0.56      
tRNA_tdbR00000003-Haloferax_volcanii-2246-Ala-GGC	75        	2413.55   	-35.56    	-30.80    	-32.60    	-32.50    	-26.70    	0.71      	1.00      	0.71      	0.56      	0.71      	1.00      	0.71      	0.57      	0.71      	1.00      	0.71      	0.56      
tRNA_tdbR00000004-Haloferax_volcanii-2246-Ala-UGC	75        	4451.24   	-33.54    	-28.70    	-32.80    	-31.50    	-28.70    	0.91      	0.93      	0.95      	0.71      	0.96      	0.94      	0.98      	0.74      	0.92      	0.93      	0.96      	0.71      
tRNA_tdbR00000004-Haloferax_volcanii-2246-Ala-UGC	75        	3703.68   	-33.00    	-28.70    	-32.80    	-31.50    	-28.70    	0.76      	0.93      	0.95      	0.71      	0.79      	0.94      	0.98      	0.74      	0.76      	0.93      	0.96      	0.71      
tRNA_tdbR00000004-Haloferax_volcanii-2246-Ala-UGC	75        	5401.09   	-33.20    	-28.70    	-32.80    	-31.50    	-28.70    	0.76      	0.93      	0.95      	0.71      	0.79      	0.94      	0.98      	0.74      	0.76      	0.93      	0.96      	0.71      
tRNA_tdbR00000004-Haloferax_volcanii-2246-Ala-UGC	75        	3051.61   	-33.20    	-28.70    	-32.80    	-31.50    	-28.70    	0.76      	0.93      	0.95      	0.71      	0.79      	0.94      	0.98      	0.74      	0.76      	0.93      	0.96      	0.71      
tRNA_tdbR00000004-Haloferax_volcanii-2246-Ala-UGC	75        	4728.81   	-33.54    	-28.70    	-32.80    	-31.50    	-28.70    	0.91      	0.93      	0.95      	0.71      	0.96      	0.94      	0.98      	0.74      	0.92      	0.93      	0.96      	0.71      
srp_Burk.mall._CP000010                      	79        	5400.75   	-29.98    	-17.60    	-27.20    	-25.50    	-25.00    	0.78      	0.00      	0.00      	0.32      	0.80      	0.00      	0.00      	0.32      	0.78      	0.00      	0.00      	0.32      
srp_Burk.mall._CP000010                      	79        	5400.80   	-29.18    	-17.60    	-27.20    	-25.50    	-25.00    	0.78      	0.00      	0.00      	0.32      	0.80      	0.00      	0.00      	0.32      	0.78      	0.00      	0.00      	0.32      
srp_Burk.mall._CP000546                      	79        	5401.66   	-29.18    	-17.60    	-27.20    	-25.50    	-25.00    	0.78      	0.00      	0.00      	0.32      	0.80      	0.00      	0.00      	0.32      	0.78      	0.00      	0.00      	0.32      
srp_Burk.pseu._CP000124                      	79        	5401.00   	-29.18    	-17.60    	-27.20    	-25.50    	-25.00    	0.78      	0.00      	0.00      	0.32      	0.80      	0.00      	0.00      	0.32      	0.78      	0.00      	0.00      	0.32      
