RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	F1 ILP    	F1 RNAstr 	Fb ILP    	Fb RNAstr 	INF ILP   	INF RNAstr      
srp_Acin.spec._CR543861                      	47        	530.36    	-14.83    	-14.30    	-14.30    	1.00      	1.00      	1.00      	1.00      	1.00      	1.00
srp_Baci.amyl._CP000560                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00     
srp_Bdel.bact._BX842656                      	56        	7150.49   	-12.57    	-7.80     	-12.20    	0.67      	0.00      	0.83      	0.00      	0.71      	0.00      
srp_Brad.spec._CP000494                      	33        	2.42      	-10.74    	-10.00    	-10.80    	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
srp_Bruc.abor._AE017223                      	33        	2.45      	-10.74    	-10.00    	-10.80    	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
srp_Carb.hydr._CP000141                      	36        	3.36      	-8.57     	-3.80     	-7.70     	0.93      	0.93      	0.90      	0.90      	0.94      	0.94      
srp_Dein.geot._CP000359                      	32        	5.89      	-10.66    	-8.70     	-9.70     	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
srp_Erwi.caro._BX950851                      	30        	0.78      	-10.50    	-8.60     	-8.60     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Ferv.nodo._CP000771                      	35        	5.58      	-10.74    	-10.00    	-10.80    	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
srp_Geob.uran._CP000698                      	33        	5.96      	-8.04     	-8.30     	-8.30     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Haem.infl._L42023                        	32        	0.93      	-9.86     	-8.60     	-9.70     	0.93      	0.00      	0.97      	0.00      	0.94      	0.00      
srp_Lact.brev._CP000416                      	55        	12275.31  	-12.02    	-5.90     	-10.60    	0.58      	0.56      	0.65      	0.64      	0.59      	0.57      
srp_Lact.lact._CP000425                      	36        	40.20     	-5.91     	-2.70     	-6.90     	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Lact.lact._AM406671                      	36        	23.99     	-5.91     	-2.70     	-6.90     	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
srp_Lact.sali._CP000233                      	31        	1.15      	-8.57     	-7.70     	-7.70     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_List.wels._AM263198                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Meth.vann._CP000742                      	36        	12.34     	-11.21    	-7.70     	-10.30    	0.82      	0.82      	0.85      	0.85      	0.82      	0.82      
srp_Nitr.wino._CP000115                      	39        	19.93     	-9.59     	-4.90     	-7.60     	0.82      	0.88      	0.80      	0.81      	0.82      	0.88      
srp_Novo.arom._CP000248                      	41        	56.51     	-10.35    	-7.80     	-8.70     	1.00      	0.82      	1.00      	0.74      	1.00      	0.84      
srp_Para.deni._CP000489                      	33        	2.43      	-10.74    	-10.00    	-10.80    	1.00      	0.00      	1.00      	0.00      	1.00      	0.00     
srp_Pedi.pent._CP000422                      	59        	15816.29  	-18.03    	-8.20     	-11.30    	0.74      	0.15      	0.83      	0.17      	0.75      	0.16 
srp_Proc.mari._AE017126                      	51        	589.62    	-15.99    	-8.90     	-16.00    	0.00      	0.00      	0.00      	0.00      	0.00      	0.00    
srp_Rhiz.legu._AM236080(replica Novo)           41        	55.62     	-10.35    	-7.80     	-8.70     	1.00      	0.82      	1.00      	0.74      	1.00      	0.84      
srp_Rhod.spha._CP000577                      	42        	90.31     	-10.35    	-8.00     	-9.40     	1.00      	0.00      	1.00      	0.00      	1.00      	0.00      
tRNA_tdbR00000398-Ascaris_suum-6253-Ser-UCU  	54        	9998.11   	-11.58    	-3.20     	-9.70     	0.42      	0.42      	0.45      	0.45      	0.43      	0.43     
