RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	MFE RNAFold	F1 ILP    	F1 RNAstr 	F1 RNAFold	Fb ILP    	Fb RNAstr 	Fb RNAFold	INF ILP   	INF RNAstr	INF RNAFold
srp_Baci.amyl._CP000560                      	30        	0.83      	-8.42     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.82      	-8.42     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.98      	-8.42     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	1.01      	-8.42     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	1.00      	-8.42     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	572.01    	-16.96    	-14.30    	-14.30    	-15.30    	0.67      	1.00      	0.55      	0.70      	1.00      	0.55      	0.67      	1.00      	0.55      
srp_Acin.spec._CR543861                      	47        	536.98    	-14.33    	-14.30    	-14.30    	-15.30    	0.67      	1.00      	0.55      	0.70      	1.00      	0.55      	0.67      	1.00      	0.55      
srp_Baci.amyl._CP000560                      	30        	0.02      	0.00      	-5.00     	-5.00     	-5.00     	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	5.65      	-22076.75 	-5.00     	-5.00     	-5.00     	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.77      	-7.43     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.95      	-6.02     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.52      	-6.02     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Acin.spec._CR543861                      	47        	216.67    	-12.98    	-14.30    	-14.30    	-15.30    	0.70      	1.00      	0.55      	0.71      	1.00      	0.55      	0.70      	1.00      	0.55      
srp_Acin.spec._CR543861                      	47        	50.05     	-38.23    	-14.30    	-14.30    	-15.30    	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      
srp_Acin.spec._CR543861                      	47        	231.18    	-38.23    	-14.30    	-14.30    	-15.30    	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      
srp_Acin.spec._CR543861                      	47        	493.09    	-14.83    	-14.30    	-14.30    	-15.30    	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      
srp_Acin.spec._CR543861                      	47        	361.00    	-14.83    	-14.30    	-14.30    	-15.30    	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      
srp_Baci.amyl._CP000560                      	30        	0.76      	-7.43     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.78      	-7.43     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.77      	-7.43     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
