RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	MFE RNAFold	F1 ILP    	F1 RNAstr 	F1 RNAFold	Fb ILP    	Fb RNAstr 	Fb RNAFold	INF ILP   	INF RNAstr	INF RNAFold
srp_Acin.spec._CR543861                      	47        	211.48    	-15.03    	-14.30    	-14.30    	-15.30    	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      	1.00      	1.00      	0.55      
srp_Baci.amyl._CP000560                      	30        	0.21      	-7.63     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Brad.japo._BA000040                      	33        	0.79      	-10.94    	-10.00    	-10.80    	-10.00    	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      
srp_Brad.spec._CP000494                      	33        	0.81      	-10.94    	-10.00    	-10.80    	-10.00    	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      
srp_Bruc.abor._AE017223                      	33        	0.78      	-10.94    	-10.00    	-10.80    	-10.00    	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      
srp_Camp.jeju._AL139074                      	36        	2.24      	-10.04    	-8.70     	-8.70     	-8.70     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Carb.hydr._CP000141                      	36        	3.09      	-8.77     	-3.80     	-7.70     	-7.70     	0.93      	0.93      	0.93      	0.90      	0.90      	0.90      	0.94      	0.94      	0.94      
srp_Dein.geot._CP000359                      	32        	0.99      	-10.86    	-8.70     	-9.70     	-9.50     	1.00      	0.00      	0.00      	1.00      	0.00      	0.00      	1.00      	0.00      	0.00      
srp_Erwi.caro._BX950851                      	30        	0.27      	-10.70    	-8.60     	-8.60     	-8.60     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Ferv.nodo._CP000771                      	35        	1.04      	-10.94    	-10.00    	-10.80    	-10.00    	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      
srp_Geob.uran._CP000698                      	33        	1.14      	-8.24     	-8.30     	-8.30     	-8.30     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Haem.infl._L42023                        	32        	0.54      	-9.86     	-8.60     	-9.70     	-9.50     	1.00      	0.00      	0.00      	1.00      	0.00      	0.00      	1.00      	0.00      	0.00      
srp_Lact.lact._AM406671                      	36        	7.31      	-6.86     	-2.70     	-6.90     	-6.70     	0.93      	0.00      	0.00      	0.90      	0.00      	0.00      	0.94      	0.00      	0.00      
srp_Lact.lact._CP000425                      	36        	7.68      	-6.86     	-2.70     	-6.90     	-6.70     	0.93      	0.00      	0.00      	0.90      	0.00      	0.00      	0.94      	0.00      	0.00      
srp_Lact.sali._CP000233                      	31        	0.35      	-8.77     	-7.70     	-7.70     	-7.70     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_List.wels._AM263198                      	30        	0.21      	-7.63     	-5.00     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Meth.vann._CP000742                      	36        	5.24      	-11.42    	-7.70     	-10.30    	-10.30    	0.82      	0.82      	0.93      	0.85      	0.85      	0.90      	0.82      	0.82      	0.94      
srp_Nitr.wino._CP000115                      	39        	9.00      	-9.79     	-4.90     	-7.60     	-7.60     	0.88      	0.88      	0.88      	0.81      	0.81      	0.81      	0.88      	0.88      	0.88      
srp_Novo.arom._CP000248                      	41        	29.53     	-10.55    	-7.80     	-8.70     	-8.70     	1.00      	0.82      	0.82      	1.00      	0.74      	0.74      	1.00      	0.84      	0.84      
srp_Para.deni._CP000489                      	33        	0.77      	-10.94    	-10.00    	-10.80    	-10.00    	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      	1.00      	0.00      	1.00      
srp_Rhiz.legu._AM236080                      	41        	29.82     	-10.55    	-7.80     	-8.70     	-8.70     	1.00      	0.82      	0.82      	1.00      	0.74      	0.74      	1.00      	0.84      	0.84      
srp_Rhod.spha._CP000143                      	41        	29.46     	-10.55    	-7.80     	-8.70     	-8.70     	1.00      	0.82      	0.82      	1.00      	0.74      	0.74      	1.00      	0.84      	0.84      
